Instructor,ALMethod,Implementation,ClassSize,Discipline,PhDGranting,PublicPrivate,Research,LPA_Profile,ConceptInventory
ISLE_Course1,ISLE,I-LO1,150,Physics,PhD,Public,R2,1,FCI
ISLE_Course2,ISLE,I-WC1,16,Physics,NonPhD,Private,PUI,1,FCI
ISLE_Course3,ISLE,I-LO2,118,Physics,PhD,Public,R2,1,FCI
ISLE_Course4,ISLE,I-WC2,15,Physics,PhD,Public,R2,3,FCI
ISLE_Course5,ISLE,I-WC3,32,Physics,NonPhD,Public,RCU,3,FMCE
ISLE_Course6,ISLE,I-WC4,33,Physics,NonPhD,Public,RCU,3,NA
PeerInstruction_Course1,PI,PI1,28,Physics,NonPhD,Public,PUI,1,FCI
PeerInstruction_Course2,PI,PI2,253,Physics,PhD,Public,R1,2,FMCE
PeerInstruction_Course3,PI,PI3,576,Physics,PhD,Private,R1,2,MBT
PeerInstruction_Course4,PI,PI4,201,Physics,PhD,Private,R1,2,MBT
PeerInstruction_Course5,PI,PI5,81,Physics,PhD,Private,R1,2,HalfFCI
PeerInstruction_Course6,PI,PI6,94,Physics,NonPhD,Public,RCU,2,FCI
PeerInstruction_Course7,PI,PI7,17,Physics,PhD,Private,PUI,1,GenderFCI
PeerInstruction_Course8,PI,PI8,320,Physics,PhD,Public,R1,2,FMCE
PeerInstruction_Course9,PI,PI9,20,Physics,NonPhD,Private,PUI,2,FCI
Tutorials_Course1,T,NA,22,Astronomy,NonPhD,Private,PUI,NA,NA
Tutorials_Course2,T,T-WC1,18,Astronomy,PhD,Public,R1,3,LSCI
Tutorials_Course3,T,T-WC2,36,Physics,PhD,Private,PUI,4,FMCE
Tutorials_Course4,T,T-RO1,32,Physics,PhD,Private,R1,3,ECA
Tutorials_Course5,T,T-RO2,49,Physics,NonPhD,Public,RCU,3,FCI
Tutorials_Course6,T,T-RO*,185,Astronomy,PhD,Public,R1,2,TOAST
Tutorials_Course7,T,T-WC3,29,Physics,NonPhD,Public,PUI,3,FCI
Tutorials_Course8,T,T-RO3,11,Physics,NonPhD,Public,PUI,3,FCI
Tutorials_Course9,T,T-WC4,70,Astronomy,PhD,Private,R1,1,NA
SCALEUP_Course1,SU,SU1,48,Physics,PhD,Public,R1,3,NA
SCALEUP_Course2,SU,SU2,54,Physics,PhD,Private,R1,4,NA
SCALEUP_Course3,SU,SU3,135,Physics,NonPhD,Public,RCU,4,FCI
SCALEUP_Course4,SU,SU4,23,Physics,NonPhD,Private,PUI,4,FCI
SCALEUP_Course5,SU,SU5,99,Physics,PhD,Public,R2,1,FCI
SCALEUP_Course6,SU,SU6,48,Physics,NonPhD,Private,PUI,NA,FCI
SCALEUP_Course7,SU,SU7,42,Physics,PhD,Public,R2,3,EMCS