"ID","PreScore","PostScore"
"FL73J9DOV2","5","4"
"YZSNRI48IA","8","9"
"JA4G904973",NA,"10"
"ML7SK1JYU8","3","11"
"R4NRGMQ3AI","9","5"
"3K75QAPB8H","10","2"
"4P2A7KQ2Y0",NA,NA
"XUVW75XHFN","10","6"
"H2JL4DQUMG","0","12"
"QBI7EJK30B","10","9"
"7TXM9NT3V9","6","7"
"SY8CSI0E8O","4","10"
"GGPAKS9KTB","15",NA
"VVYAETYE9U","9",NA
"BWVJZIX0YR","0",NA
"6M153UJ01U",NA,NA
"QFPLLNTP3P",NA,NA
"HI0GPOX7VU","8",NA
"4XC5EN3CX8",NA,NA
"8X4M1BU8KW","14",NA
"WBOKEDZ4ZF","16","21"
"BKLOFN849Y","13","11"
"NT029ZVKCH","4","6"
"S6LYWB2IC5","0",NA
"FZKV8Y1OM8","0","2"
"HL3H5SY0K7","6",NA
"TUMA6JSHBZ",NA,NA
"O6SE0ENLOG","0","15"
"8I5HGOQBC0","9","12"
"BYYKFMJ4PX","13","11"
"W9FPBSMC8N","13",NA
"NP5K1120TG","3","7"
"VGMILFNPEE",NA,NA
"4BK693YYVZ",NA,NA
"HM6I4OUWIF","14","11"
"PT2MEYFEYH","16",NA
"8DMVAO725L",NA,"9"
"BASJFLMQUB","14",NA
"F183IG49HG",NA,NA
"AR43LK002C",NA,NA
"OVLGNJYTBU","12",NA
"TXJKR5LZ7L","7","3"
"M4NSLLDOYT","23","22"
"2FQVRHTV0G","15","19"
"79066Y4ZHR","7",NA
"V4RIEXKTO4","8","5"
"F9K3X8RYZ8","7","8"
"OOY7JHTN4I","17","23"
"R53CGLHUA6","2","9"
"GZFDBJ0RWI","6","4"
"CLV4BTYBXL","9","7"
"IS0HGZNHPI","13",NA
"P0BJXS88OE","14","21"
"AH33V9H5B7","14","20"
"LFD87RITZM","14","15"
"9CW9CS5GRK","15","14"
"J2RFNCZXLF","9","12"
"EXP3MX6GU8","10","6"
"KSELRM1E9P","8",NA
"G2FE6CUQHG","17","23"
"MOK9OIOE9Q","10","3"
"6POZBOFSMY","22","23"
"XGVM0FFCAM","11","19"
"C0O3GK1G8G",NA,"20"
"71MS62GLKG","0",NA
"G9977P2FS8","11","7"
"A4MXIFIH1X",NA,"12"
"DI88W1SZA4",NA,NA
"W173RJ5SFU","17",NA
"ZV4A5DSFWL","13","15"
"J4MNXW7UMQ","11","9"
"XE9FBKDNHO",NA,NA
"AALC15407E",NA,NA
"STDNN5A10L","0",NA
"YWILSYJ172","10","10"
"869BJY4FQG","4","9"
"UZZAHLP7VE","8","5"
"24IHM69S62","17","3"
"WF68ZAP7HS",NA,NA
"D4PU30JBFH","14","18"
"KHX7KB5TMD","13","16"
"NA7O4P0659","14",NA
"RR2F42C3OH","8","12"
"WCZB5ULCTZ","8",NA
"SR38DWN169","0",NA
"KU6UGVK40Y","17","16"
"9UXUGOZ38W","2","11"
"TUKJR6RA0O","5","20"
"ARAK9EHF3R","15","9"
"URZVEHEGXL","8","14"
"0N3L50PECV","9","5"
"B3IKB39SSR","9","5"
"PCNM1RHAMS",NA,NA
"CE3XEK7529",NA,NA
"IYCM49UWRN","13","17"
"OZG1FN49PP","3","6"
"RUVSZYLT36","12","7"
"22SMGNLA9D","13","21"
"96KRM8U978","7","10"
"01IRPS4O8I","19","13"
"2IRPRT82T6","12","9"
"7BCUOP5Y0A","17","16"
"NXI2PEGVSX","5","3"
"FA6WGAWTN6","18","6"
"N0NRWYR9OH","6",NA
"6SJQZ48H2N","3","4"
"HWUPIIPVW6",NA,"5"
"KE0FWY5YFL","7","12"
"N7FDK4WBOR","19","20"
"Y1LWYE0LVA","10",NA
"OE7W9SY0YQ",NA,NA
"IZUU0NBX5L","6","10"
"DW3EWYWH0E","16","21"
"BOCZYCFWZ7",NA,NA
"HBG5HEGL6I",NA,NA
"WEJBK3XYHD","3","5"
"9HKS1NAST7","9",NA
"2RVQD90NQ1","6","7"
"4TTERPAA3M","6","5"
"2DH8SAIMTK",NA,NA
"0NUH12H83Q","12","8"
"9A7IRPY5ID","6","4"
"XYN5F42407","4",NA
"UZ5C8QVUVB","0","6"
"8JC9B9AYIG","13",NA
"LYYH145XYH","13","19"
"SN4CFRMOQV","9","4"
"QMLPYHC4GM","12","7"
"65VAQ7J1J7","12","5"
"AJ8PENBAV0","6","13"
"M3SQ1TYDUH","0","9"
"MIPP7EYFBY","6","6"
"HQDLZFCNC2",NA,NA
"QI4ZF9LHWW","16","0"
"WH4BXM32JD","0",NA
"6O9FDKDXGZ","7","18"
"Y0UNSQQ0NS","0","18"
"L28JYSNIYF","12","13"
"UUACWDA7XI",NA,NA
"8TKZ0MAZPV",NA,NA
"QVH2WTWFYU","2",NA
"DCQ1Z23UWA","16","15"
"3N5F5G0J10","14","11"
"S3S8BYN429","5","7"
"8BJWNXTWAT","7","3"
"Z1L72PFFK4","8","13"
"J3ONETD8I0","14","14"
"YE1VUIRNMG","13","19"
"76E4BTH793","4","12"
"1N75X81ZKT","7","8"
"5FUYPD5HK2",NA,NA
"2O5F87II19","12","1"
"G064X98VJU","18","24"
"XWUTD587H7","6","3"
"JD642QZ9QT","11","16"
"CXR6MLHCQJ",NA,NA
"2ZWLUS3JKY","16","7"
"FLDP2ZTXDO","12","13"
"2RBIXS02CL","14","17"
"PQBCGCV5ZY","12","8"
"9WH3SBIE8M",NA,NA
"N5T7L8BO58",NA,NA
"HSAV1KRUSS","10",NA
"MGCR4C2SGV","8","11"
"5L2RUVJTWZ","23",NA
"TM2TNK6UHW","17","23"
"MSRDIJEPVW","13","18"
"F1C0KS4WNL","15","14"
"ZRP1PFJRU7","8",NA
"T4SWM51EBF","10","4"
"KDNP0U4JDB","5","4"
"O0U8RF8HIZ","13","0"
"M2IGY98DV2","10","18"
"O62UJR9654","7","7"
"SKW1GQS4FB",NA,NA
"FTPILD8D13","8","5"
"LIRP9ZWFXN",NA,"11"
"P2EOTK04NT","5","14"
"WMUJKSCAVE","10","7"
"1YK9J51PAY","16",NA
"AZAHS2ZH28",NA,NA
"I3WM3741MD","9","16"
"6GDUUXUZWQ","11","6"
"LJKQW26FNP","14",NA
"AYKH6MMIWY","1",NA
"P3O8MG94AX","14","0"
"ZX9NUX5OEC","15","13"
"M2Q038R0AU",NA,NA
"W6B61LDK6Z","7","7"
"QUHD1OWBB9","6","7"
"BGXCOTWLKM","11","19"
"GCTSISIPAO","15","0"
"TICMCIYZRD","7","8"
"9SYGE3RXDY","18","0"
"ELW3DFC6JM","3","11"
"Q65RIJ01YK","2",NA
"94NA6SCFHJ","4","0"
"Q0QUSR04XU","9",NA
"8W2YZB3P8S","17","23"
"CHTJ27OLFW","21",NA
"HQEL1HKWT1","7","3"
"3U88PFXSY2","4","20"
"MC33I48GMB","13","22"
"IU3TVRQPYX","8","12"
"XMU7KOHSTG",NA,NA
"IU73I02WJP","10","13"
"4YP5USKJSY","15","20"
"ANIXNEHF9L","10","10"
"JWNWL2NRPE","17","22"
"PL4Q8X1GJE","7","5"
"F9YL2KZGMA","10","12"
"J9X11N5G50",NA,NA
"1PNZO06XHS","12","6"
"PT6ECMX2MZ","0","16"
"1OXEY1UZ67","0","4"
"4I6FE31ZYJ","5","1"
"ZJGKM92QOY","14","22"
"9VUYQDA5DB","9","0"
"XKCD18N0HY","6",NA
"Q3Q0DFJVMJ","10","16"
"JE42QY01KE","7","12"
"BR983ULUK7","6","14"
"HBVTSV7ROA",NA,NA
"GCG4FTGBCR","11","13"
"VUBZXYOICT","9",NA
"FD1G23HIV7","8","10"
"X6ZA4EPZYM","11","3"
"JNGVL4AZQB","13","18"
"FKVXPCTG27","7",NA
"NPZSB7G9GN","19","4"
"FA4WMG9D7O",NA,NA
"NEKUQU5JPT","4",NA
"O81XZJ9T2M","13",NA
"OYVTO0RGNI","6","5"
"0QCVQB6GN4","5","9"
"I7K5TB8XWM","4","4"
"WI7VCAJIQ1","15","18"
"T09JODEYZM","3","5"
"WJWA9ID9SU","21","21"
"22OMNW0DLT","15",NA
"M0BO5193UZ","6",NA
"X1LNMDLGBJ","17","22"
"3ACUR7CLQH","7","8"
"L8V91WNW3A",NA,"6"
"EMJUQJLTYA","10","14"
"SHRFLNVXTE","6",NA
"5LWQ5R76SB","22","23"
"RGHMMB1P2Y","19","20"
"QDK238VD4F","16","17"
"KIZJFJM0PC","13",NA
"81MMRUSFUB","11",NA
"Q8O7F27NZX","5","7"
"YEBJQZN61W","16","20"
"7A5UTW2E1R","10","19"
"NYAP96GVDJ","17",NA
"K1TSB1G9CD","8","17"
"4Q4N7CKPMK","14","22"
"NEHQGZ5AF0","14","3"
"FKP45H632Y","18","22"
"QBXR9Y67B7","13",NA
"YYGV3MGXQN","6","3"
"RQW3RN3ICH",NA,"5"
"ZOGP4WG44C","12","13"
"P79T2CL4IS","13","8"
"CQBOQIAJ8Y","12","25"
"B9O24FUC0W","17","16"
"KJGU7OVS6T","12","17"
"0BPIW5BYME","14","15"
"HEO31FMWMA","14","20"
"V6M77DVH6J","20","22"
"1GVWMBXI3C",NA,NA
"MDZHD1YXIP","11","2"
"QJ1LOO467R","15","3"
"0673OJ0DRF","12","9"
"T98W8AMN2F","13","18"
"YOJKYNLADJ","10",NA
"RAYW51HRBA","7","0"
"6BGAQIZ3WP","0","6"
"Q3ENFYNOZ2","12",NA
"9SH0SQPV3Z",NA,"14"
"3ZDVNEAVMB",NA,"9"
"BCATXODZD6","5","0"
"LXKG14FN55","7",NA
"TBGNBQ7F35",NA,NA
"JLIUFGJ0CT",NA,NA
"L9BVI27RZA","12","14"
"ZN70H06JQQ",NA,NA
"LQTKZ30M41","19","15"
"C7QZYG6NXF","18","24"
"KNAQ1HVCA4","12","17"
"8YHI3D1QFK","10",NA
"879X56B1CR","0","10"
"YLW5HT4TAM","19","20"
"0TGTHL194D",NA,NA
"QH6359OA9P","10","23"
"WFOM9O94L5","15",NA
"L889YZJOA8",NA,NA
"FHN5KMNGPZ","6","16"
"QS2RHQ03X1","11","13"
"KG7DS1EIR2","8",NA
"Y00QI7LYE2","9",NA
"OAIZ5J3GUH","13","17"
"DIRJKFT18F","18","15"
"AE3AE1AH6M","22","23"
"GU3FWR5PRA",NA,NA
"1LF2CQ8MLS","16","19"
"KIIN42PIBD","15","21"
"FCK6A73KL0","8",NA
"B4IYFX4HR1",NA,"15"
"BX0VSGCEFU","3","5"
"8DOTQFE87V","8","14"
"V65UX2OGDN","2","21"
"SRU23P7VZW","11","12"
"PE0ZHVAT8G","8","8"
"JALW638C21","10",NA
"IDQKVREUP6","8","7"
"ZBTERC9HYD","16","18"
"V3FZAIM2G5","8","4"
"921AMVRDK7","10",NA
"TIQFC264KU","6","5"
"1UA9FBZSZZ","6","3"
"4ZGEAWJ9BJ",NA,NA
"8V4FO6UR58","14","18"
"6V8YG2R0V4","7","7"
"UUF2GEGUPR","0","17"
"PTJMDCIRAT",NA,NA
"E3LNAECPWF","13","20"
"UNIBUV6ZPK",NA,NA
"YA11WO34RU","12","19"
"IMIQ4JHSEU","19","21"
"UAIIP3XOH4",NA,NA
"CGK1JI3WE4",NA,"1"
"MJUBATP1R5","8",NA
"LO5EY0VY2P","8","12"
"ASY0MR1KYV","15","22"
"NNDKTS4T9O","24","20"
"ZFNF91XLZI",NA,NA
"7PRJHYJ48P","14","19"
"63JYNG1YVO","17","23"
"SPB0NPV6SO","7","16"
"36M28VGDZ5","16",NA
"9CI7UVL7QC","17","23"
"682Y0J2LZ9","8","4"
"6HVR33UZO7","12",NA
"3D94VJS5A7",NA,NA
"I55YVIXKMP",NA,NA
"FIAX6XO4MD","8","4"
"Z299ZCPXTD",NA,NA
"S0PSW9WVQJ","14","19"
"ZG5FL8MYHW","11","13"
"N7B9UU56VB","5",NA
"ZQCT7QJUNN","11","16"
"9EJY1CBASN","10","8"
"FACP12O82Q","15","2"
"KCPPAGOYF9",NA,NA
"1W9SEGE4EJ","6","10"
"ECJIR8R3OW","12","7"
"UJTHMPC3KY","11","19"
"ZDEJ91BMFX","12","18"
"XB4BCLVDU0","9","17"
"WQKA00YNJU","11","10"
"C87N7C4SUQ","15","5"
"7CEMYROOR2","17",NA
"A3ZF0RCGCR","6",NA
"ZPZBTS4DA1","5","3"
"HDOUZRY24D","10","15"
"AODILLMGAN","4","5"
"FYVMKD0PF7","9",NA
"O8ODH056SK","16","21"
"1WARGVLSLP","8","9"
"F8D6RYWTVL",NA,NA
"SSHR2W89RW","10","4"
"PIR6DX3QSU",NA,NA
"FGB6N05NX6","11","23"
"P4INJZZQMI","11",NA
"R7LNC51Q6N","8",NA
"5I808L1AS9","10","11"
"RS8GIBKIKI","6","6"
"I0KVHRPQBB","10",NA
"YGV7M1N274","7","13"
"WYPRX46U2C","5","15"
"V6F77TFLMP","8","6"
"NRII9DFW6O","15","20"
"IB2I6WOWHG","9","17"
"8PXRFJD877","15","24"
"GJ09Q4TCEG",NA,NA
"6U85FQ7U4J","13","22"
"IC5IOL8SFI","7","4"
"9EQSG6EG7H","13","0"
"A7N5X99X4S","9","14"
"ORMW5X25EI","17","16"
"Y9EZA4IZ1P",NA,"7"
"OK8VUV1SVH","19","19"
"4LQATXQWC5","13","15"
"WHDI756BKO","13","19"
"CFUA4RDU2K","6","9"
"360ROA7K51","10","4"
"R97SCOG3K3","7","4"
"2H3EXPP01C","2","6"
"R11CGO0B5H","20","22"
"QOQ3O1O4NI","7","1"
"6X2EO0PQ5X",NA,NA
"TZOUN5DE9P",NA,NA
"TXTCZ49OL6","15","7"
"0LNPH7MB74",NA,"22"
"Q7W88JGO60","14","11"
"XW1VKUJ459","11","9"
"BLB7IFND6K","13","14"
"VDY3H7VHK9","8","8"
"V8KWAXSXFW","6","9"
"W57UGSRAZF",NA,NA
"PDAKC66KGA","11",NA
"15SU18AN1E","3","3"
"930R4F20YS","6","2"
"C4TFWCW7R7","11",NA
"MM84P4PKW6","14","20"
"GLRA2XQ2K3","6","12"
"BVGS9YOJ3F","20","0"
"L10B4QYBU2",NA,NA
"8XODYCG5PO","10",NA
"AGB2ISG773","14","14"
"8KVF524ZNV","4","7"
"2POCS6PPMK",NA,NA
"M7EZJSG0GG","17","18"
"CX2885QJOG","7","7"
"DLJFNB7UH5",NA,"6"
"M2IWD4ENAT","6",NA
"KN5C043JBB","16","19"
"AX3MPLGN8G","9","3"
"SYCRWYBRS3","12","12"
"GN90AVNA55","17","20"
"OMWPST6SHO","16","10"
"1NFO3CQ5TI","9","13"
"IF57IVEPCH","9","12"
"IR4VPPZOLQ","5","13"
"GW1JY78574","15","15"
"K30VXOCTOT","12","17"
"GIR4Y0H71Z",NA,NA
"2C8TVMO1A6","17","22"
"TRR2Y3B5HW",NA,NA
"RTOCQAKYJF",NA,NA
"5M4AB43KD4","12","14"
"P5TW1V45RN","13","6"
"7Q8DQBZSN1","4","5"
"B4C9JXNWBZ",NA,NA
"87WJCNJEYG","13","14"
"XCXHAQEU65","7","13"
"85EDLRO7ZX",NA,"0"
"1HBB6ZUBJU","14","14"
"BWQ0AUQGWH","2","8"
"CE5FPNCP04",NA,NA
"UN4BBJ95MO",NA,NA
"YDUT1U3NEV","7","9"
"6C60NH6JQ3","10","26"
"0EPLKEE9AL",NA,NA
"H7R06FZRRL",NA,NA
"HL7LQBXSI2","15","22"
"QV8HT41N9L","12",NA
"U3REW4B5QD","9","4"
"6MK35NOLI4","5",NA
"G56K8V05OK","2","7"
"UX8EECJ3J0",NA,NA
"3REJPRIBCP","7","13"
"JELHMQTHQK","9","8"
"UL0MM1RKE3","14","18"
"JYXYDXJYVP","2",NA
"CO5ZW0IKUF","3","13"
"CFMVYM2U9D",NA,NA
"ELGY3OBNAI","8",NA
"NUP8TJG0ES","13","15"
"V80G10MAEV","11","19"
"5BUZ8NNEII","11","22"
"PAPVJMGC3F","13","21"
"JIBYQBEACE","16","5"
"3RC77HC9OA","18","6"
"26397WADTR","11","16"
"X72SDPYWVE","19","16"
"TZW9K5ZG1J","12","19"
"V4VJE9M46D",NA,"18"
"N1XRCFTQIZ","12","5"
"HFYF1HOBD0","11","5"
"HX7XH2VN86","17",NA
"820CXX8SHN","4","16"
"LKQF085CJC","12","17"
"GVBPAT7M85","8","6"
"UZ8O5C17ZC","12","18"
"3O4ULCYT4E","18","21"
"TXCFXWUZCQ","11","5"
"DB8XR0WXJ3",NA,NA
"2R70EWQDBY","7","6"
"4NDQAH6MHJ","1","8"
"NXHME986V9","8","16"
"ULLNT57W9M","16","16"
"3AGJDZ0UBE",NA,NA
"C54H6M3N92","16","9"
"6D7JXP78JC","1",NA
"YWF9AQG23F","8","0"
"0B66X2G7N8","14","12"
"JOM1LL9YWV","2","8"
"M56FLAJK8L","11","22"
"VFMXV54GIB","8","8"
"NOCK9UVOX8","15","10"
"Q4S8A510SP",NA,NA
"A82WYRLJ58",NA,"14"
"6UGR5UMWFX","12","13"
"A5O3PLP8NG","5","0"
"APVZ2W6LTB",NA,NA
"ZSLPLY4AV0","14","17"
"OOD0EIR155","4","9"
"UQCKJV754J",NA,NA
"3WEOUKTDHO","9","11"
"7YV5B7M4CX","4","10"
"99MCCUO9ZR","15","24"
"B6N2WKXC5E","3","8"
"WGAII03KO8","3","8"
"81A5X8UDE3","1","4"
"4U7KNW0TPM",NA,"0"
"5TTWUSA2DK","10","13"
"M0EUM8PT5D","3","13"
"VYDO63X6N4","5","0"
"Q9KTHC67SS","8","12"
"EGRBOC6QTT","7","4"
"R7O99YKTTO",NA,NA
"OHIVGSL394","10","18"
"XTBX3AOMOP","11","21"
"GB3S22DX6Z","22","22"
"RY6YM43FGF","21","23"
"VQ2IXUB5H6","12","16"
"P67QGATT2K","11","8"
"IEZRSMAAAI","5","16"
"WYM8YKOF32","12","15"
"JHT2RR1K3S","20","21"
"FC0QU4I723",NA,NA
"BYSXIDPIG6","14","20"
"5X4T7FW545","14","17"
"U8KVT1ME95","13","0"
"V345HG2KUT","11","15"
"3XB0FA3SW4","12","12"
"JSBCUINYOT",NA,"6"
"5PQDYBGK0J","14","11"
"D2S47Z5HM6","8",NA
"4Z90DTNA3U","14","13"
"XUGO6HUI4I","5","10"
"G78HS9YL4P",NA,"19"
"JQSPTNVIDH",NA,NA
"MAI36P5ISM",NA,NA
"AGM26OFM5V",NA,NA
"VCK7IMI7AL","7","11"
"6Z3ACODTGZ",NA,NA
"XU1XS6TBUK","15","12"
"IJLHXXZMFS",NA,NA
"WJZ303GA7S","0","0"
"1H1S4XPYHX","7","3"
"KXZ0KK6KWV",NA,NA
"QYFRTKI6QA","18","17"
"2Z81WK256Z","9","13"
"P2B48DUIS1","13","12"
"2J44KCPVJD","10","5"
"ZJ87AQJ34R","10",NA
"CJBOBKE1ZD","6","10"
"PNWVAZG2VM","19","22"
"9INS0JB6F2","9",NA
"538XQYATZ2","2","5"
"0B07BJCGH7","13","21"
"4D1DXYUMT6","5","12"
"1Z05GCIUKS","18","17"
"5VXLQOESSI","1","5"
"WKLG18AOTO","11","13"
"UOEC61VSBX","10",NA
"IUQTEW9NB6","16","15"
"2MTWID3YJB",NA,"6"
"31MAXUGB6B","13","22"
"1O9N84R6OH","1",NA
"0EPU01RW0L",NA,NA
"92AXNFUMIA",NA,NA
"4QDVD2ATU2","8","5"
